Year,Name,College,POS,Height,Weight,Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
2017,Jamal Adams,Louisiana State,SS,71.63,214,9.25,33.38,11,4.56,18,31.5,120,4.13,6.96,
2017,Montravius Adams,Auburn,DT,75.63,304,9.25,32.75,,4.87,22,29,108,,7.62,
2017,Rodney Adams,South Florida,WR,73.25,189,9,32,,4.44,8,29.5,125,4.28,6.98,11.39
2017,Quincy Adeboyejo,Mississippi,WR,74.75,197,9.38,31.75,,4.42,8,34.5,123,4.14,6.73,
2017,Brian Allen,Utah,DB,74.88,215,10,34,,4.48,15,34.5,117,4.34,6.64,
2017,Jonathan Allen,Alabama,DE,74.63,286,9.38,33.63,27,5,21,30,108,4.44,7.49,
2017,Ryan Anderson,Alabama,OLB,74.13,253,9.38,31.5,,4.78,,,,,,
2017,Gavin Andrews,Oregon State,OG,77,340,,,,,,,,5.09,,
2017,Alex Anzalone,Florida,LB,75,241,9.13,32.13,26,4.63,16,30.5,116,,6.88,
2017,Isaac Asiata,Utah,OG,75.13,323,10.38,33.75,,5.34,35,25.5,102,4.93,7.83,
2017,Antony Auclair,Laval,TE,78,254,,,,,,,,4.45,,12.08
2017,Erik Austell,Charleston Southern,OT,75.13,301,9,32,,5.23,24,27.5,107,4.9,8.13,
2017,Chidobe Awuzie,Colorado,CB,71.75,202,8.5,30.63,34,4.43,16,34.5,132,4.14,6.81,
2017,Budda Baker,Washington,FS,69.63,195,9,30.75,14,4.45,15,32.5,115,4.08,6.76,
2017,Toby Baker,Arkansas,P,75.13,210,9.25,31.63,,,,,,,,
2017,Zach Banner,Southern California,OT,80.38,353,10.75,34.88,,5.58,22,23.5,92,5.21,8.31,
2017,Derek Barnett,Tennessee,DE,74.63,259,10,32.13,,4.88,,31,117,4.44,6.96,11.71
2017,Tarell Basham,Ohio,DE,75.63,269,10.25,34.25,,4.7,15,31.5,119,4.44,7.27,
2017,C.J. Beathard,Iowa,QB,74.13,219,9.38,30.63,26,,,31,113,,,
2017,Kendell Beckwith,Louisiana State,ILB,74.13,243,9.5,33,,,20,,,,,
2017,Collin Bevins,Northwest Missouri State,DE,78,285,,,,,,,,4.39,,
2017,Vince Biegel,Wisconsin,OLB,75.13,246,9.13,32.38,23,4.67,21,33.5,118,,6.92,
2017,Adam Bisnowaty,Pittsburgh,OT,77.63,304,11.38,33.88,,5.23,23,29.5,96,4.94,8.02,
2017,Victor Bolden,Oregon State,WR,68.13,178,9,31.13,,4.54,9,32,117,4.22,6.83,11.14
2017,Garett Bolles,Utah,OT,77.25,297,9.38,34,9,4.95,,28,115,4.55,7.29,
2017,Ben Boulware,Clemson,ILB,72,238,10,30.5,,,20,29.5,111,,7.02,
2017,Kendrick Bourne,Eastern Washington,WR,73.25,203,9.13,32.5,,4.68,9,34,125,4.21,6.73,12.21
2017,Tashawn Bower,Louisiana State,DE,76.75,250,9.88,33.38,,4.82,20,31.5,121,4.38,7.2,
2017,Tyus Bowser,Houston,LB,74.63,247,10.13,33.25,,4.65,21,37.5,127,4.29,6.75,
2017,Ben Braden,Michigan,OG,78.25,329,9.88,34,,5.04,25,28,102,4.9,7.85,
2017,Caleb Brantley,Florida,DT,74.63,307,9.75,32,29,5.14,21,27,105,4.5,7.66,
